,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_SILENT
359,000973.SZ,000973,佛塑科技,塑料,4.18,True
360,000976.SZ,000976,华铁股份,运输设备,5.94,True
361,000977.SZ,000977,浪潮信息,IT设备,27.61,True
362,000978.SZ,000978,桂林旅游,旅游景点,5.06,True
363,000983.SZ,000983,山西焦煤,煤炭开采,5.2,True
364,000985.SZ,000985,大庆华科,化工原料,12.23,True
365,000987.SZ,000987,越秀金控,多元金融,14.6,True
366,000988.SZ,000988,华工科技,电器仪表,20.58,True
367,000989.SZ,000989,九芝堂,中成药,8.6,True
368,000990.SZ,000990,诚志股份,化工原料,13.26,True
369,000995.SZ,000995,皇台酒业,白酒,17.57,True
370,000996.SZ,000996,中国中期,汽车服务,9.64,True
371,000997.SZ,000997,新大陆,软件服务,14.08,True
372,000998.SZ,000998,隆平高科,种植业,17.16,True
373,000999.SZ,000999,华润三九,中成药,25.78,True
374,001696.SZ,001696,宗申动力,摩托车,7.09,True
375,001872.SZ,001872,招商港口,港口,15.16,True
376,001896.SZ,001896,豫能控股,火力发电,7.08,True
377,001914.SZ,001914,招商积余,房产服务,16.22,True
378,001965.SZ,001965,招商公路,路桥,7.48,True
379,001979.SZ,001979,招商蛇口,全国地产,12.9,True
380,002001.SZ,002001,新和成,化学制药,40.36,True
381,002002.SZ,002002,鸿达兴业,化工原料,3.77,True
382,002003.SZ,002003,伟星股份,服饰,7.02,True
383,002004.SZ,002004,华邦健康,化学制药,5.17,True
384,002006.SZ,002006,精功科技,专用机械,6.49,True
385,002007.SZ,002007,华兰生物,生物制药,39.42,True
386,002008.SZ,002008,大族激光,电器仪表,39.5,True
387,002010.SZ,002010,传化智联,仓储物流,7.37,True
388,002011.SZ,002011,盾安环境,工程机械,4.07,True
389,002012.SZ,002012,凯恩股份,造纸,5.87,True
390,002013.SZ,002013,中航机电,航空,9.96,True
391,002014.SZ,002014,永新股份,塑料,9.86,True
392,002015.SZ,002015,协鑫能科,新型电力,8.27,True
393,002016.SZ,002016,世荣兆业,区域地产,6.45,True
394,002017.SZ,002017,东信和平,通信设备,10.28,True
395,002019.SZ,002019,亿帆医药,化学制药,19.07,True
396,002020.SZ,002020,京新药业,化学制药,11.02,True
397,002022.SZ,002022,科华生物,医疗保健,14.73,True
398,002023.SZ,002023,海特高新,航空,12.28,True
399,002024.SZ,002024,苏宁易购,电器连锁,7.28,True
400,002025.SZ,002025,航天电器,元器件,44.5,True
401,002026.SZ,002026,山东威达,机械基件,10.6,True
402,002027.SZ,002027,分众传媒,影视音像,10.13,True
403,002028.SZ,002028,思源电气,电气设备,26.22,True
404,002029.SZ,002029,七匹狼,服饰,5.15,True
405,002030.SZ,002030,达安基因,生物制药,27.25,True
406,002031.SZ,002031,巨轮智能,汽车配件,1.86,True
407,002032.SZ,002032,苏泊尔,家用电器,67.68,True
408,002033.SZ,002033,丽江股份,旅游景点,7.66,True
409,002035.SZ,002035,华帝股份,家用电器,7.55,True
410,002036.SZ,002036,联创电子,元器件,10.25,True
411,002037.SZ,002037,保利联合,化工原料,6.44,True
412,002038.SZ,002038,双鹭药业,生物制药,9.18,True
413,002040.SZ,002040,南京港,港口,6.35,True
414,002041.SZ,002041,登海种业,种植业,16.56,True
415,002042.SZ,002042,华孚时尚,纺织,4.91,True
416,002043.SZ,002043,兔宝宝,其他建材,10.38,True
417,002044.SZ,002044,美年健康,医疗保健,14.55,True
418,002045.SZ,002045,国光电器,元器件,9.8,True
419,002046.SZ,002046,国机精工,机械基件,7.75,True
420,002047.SZ,002047,宝鹰股份,装修装饰,3.29,True
421,002048.SZ,002048,宁波华翔,汽车配件,18.1,True
422,002049.SZ,002049,紫光国微,元器件,97.01,True
423,002050.SZ,002050,三花智控,机械基件,20.39,True
424,002051.SZ,002051,中工国际,建筑工程,7.1,True
425,002053.SZ,002053,云南能投,食品,7.31,True
426,002054.SZ,002054,德美化工,化工原料,8.98,True
427,002055.SZ,002055,得润电子,元器件,10.6,True
428,002056.SZ,002056,横店东磁,元器件,14.73,True
429,002057.SZ,002057,中钢天源,元器件,7.63,True
430,002058.SZ,002058,威尔泰,电器仪表,9.65,True
431,002059.SZ,002059,云南旅游,旅游景点,5.98,True
432,002060.SZ,002060,粤水电,建筑工程,3.28,True
433,002061.SZ,002061,浙江交科,建筑工程,5.73,True
434,002062.SZ,002062,宏润建设,建筑工程,4.26,True
435,002063.SZ,002063,远光软件,软件服务,9.13,True
436,002064.SZ,002064,华峰化学,化纤,12.56,True
437,002065.SZ,002065,东华软件,软件服务,7.46,True
438,002067.SZ,002067,景兴纸业,造纸,3.92,True
439,002068.SZ,002068,黑猫股份,化工原料,8.93,True
440,002069.SZ,002069,獐子岛,渔业,3.71,True
441,002073.SZ,002073,软控股份,软件服务,4.48,True
442,002074.SZ,002074,国轩高科,电气设备,35.44,True
443,002075.SZ,002075,沙钢股份,特种钢,9.33,True
444,002078.SZ,002078,太阳纸业,造纸,15.88,True
445,002079.SZ,002079,苏州固锝,半导体,8.54,True
446,002080.SZ,002080,中材科技,化纤,24.44,True
447,002081.SZ,002081,金螳螂,装修装饰,9.13,True
448,002082.SZ,002082,万邦德,铝,11.41,True
449,002083.SZ,002083,孚日股份,纺织,4.24,True
450,002084.SZ,002084,海鸥住工,家居用品,6.84,True
451,002085.SZ,002085,万丰奥威,汽车配件,5.91,True
452,002087.SZ,002087,新野纺织,纺织,3.66,True
453,002090.SZ,002090,金智科技,软件服务,7.68,True
454,002091.SZ,002091,江苏国泰,商贸代理,6.72,True
455,002092.SZ,002092,中泰化学,化工原料,11.01,True
456,002093.SZ,002093,国脉科技,电信运营,6.36,True
457,002094.SZ,002094,青岛金王,日用化工,3.1,True
458,002095.SZ,002095,生意宝,互联网,12.79,True
459,002096.SZ,002096,南岭民爆,化工原料,8.6,True
460,002098.SZ,002098,浔兴股份,服饰,5.93,True
461,002099.SZ,002099,海翔药业,化学制药,8.36,True
462,002100.SZ,002100,天康生物,饲料,11.11,True
463,002101.SZ,002101,广东鸿图,汽车配件,6.74,True
464,002103.SZ,002103,广博股份,文教休闲,3.96,True
465,002104.SZ,002104,恒宝股份,元器件,6.17,True
466,002105.SZ,002105,信隆健康,文教休闲,7.77,True
467,002106.SZ,002106,莱宝高科,元器件,10.49,True
468,002107.SZ,002107,沃华医药,中成药,7.6,True
469,002108.SZ,002108,沧州明珠,塑料,4.41,True
470,002110.SZ,002110,三钢闽光,普钢,7.56,True
471,002111.SZ,002111,威海广泰,航空,18.3,True
472,002112.SZ,002112,三变科技,电气设备,7.48,True
473,002114.SZ,002114,罗平锌电,铅锌,6.75,True
474,002115.SZ,002115,三维通信,互联网,5.57,True
475,002116.SZ,002116,中国海诚,建筑工程,6.11,True
476,002117.SZ,002117,东港股份,广告包装,7.82,True
477,002119.SZ,002119,康强电子,半导体,9.1,True
478,002120.SZ,002120,韵达股份,仓储物流,15.75,True
479,002123.SZ,002123,梦网科技,互联网,14.97,True
480,002124.SZ,002124,天邦股份,饲料,15.35,True
481,002125.SZ,002125,湘潭电化,化工原料,7.68,True
482,002126.SZ,002126,银轮股份,汽车配件,10.73,True
483,002127.SZ,002127,南极电商,互联网,9.52,True
