,ts_code,name,concept,COL_CONCEPT_COUNT
73,600332.SH,白云山,"MSCI, 阿里巴巴概念股, 高送转-预期, 业绩预增, 饮料, 保健品, 食品, 医药, 中药, 创新药, 化学药, 疫苗, 流感, ",13.0
74,600690.SH,青岛海尔,"白马股, MSCI, 阿里巴巴概念股, 大消费, 社保重仓, 物联网, 白色家电, 家电, 智能制造, 无线充电, 人民币贬值受益, 工业互联网, 机器人, ",13.0
75,300170.SZ,汉得信息,"社保重仓, 供应链金融, 百度概念股, 工业自动化, 智能制造, 大数据, 云计算, 区块链, 工业互联网, 国产软件, 股权转让, 滴滴出行概念股, 独角兽, ",13.0
76,000158.SZ,常山北明,"华为产业链, 回购, 棉花, 纺织服装, 雄安-智慧城市, 网络安全, 雄安新区, 京津冀, 大数据, 云计算, 智慧城市, 国产软件, 腾讯概念股, ",13.0
77,000040.SZ,东旭蓝天,"雄安-地产, 业绩预增, 破净股, 粤港澳大湾区, 光伏, 定增破发, 房地产, 环保, 智能制造, 雄安新区, 污水处理, 区块链, 机器人, ",13.0
78,300136.SZ,信维通信,"5G, 白马股, MSCI, 华为产业链, 社保重仓, 物联网, 工业自动化, 智能制造, 无线充电, 移动支付, 半导体, VR&AR, 苹果产业链, ",13.0
79,300188.SZ,美亚柏科,"阿里巴巴概念股, 无人机, 网络安全, 数字中国, 大数据, 人工智能, 国产软件, 股权转让, 复牌股, 国资入股, 智慧安防, 知识产权, 人脸识别, ",13.0
80,600258.SH,首旅酒店,"主题公园, MSCI, 阿里巴巴概念股, 大消费, 北京城市规划, 社保重仓, 旅游, 海南自由贸易港, 京津冀, 住房租赁, 自贸区, 自由贸易港, 共享经济, ",13.0
81,300168.SZ,万达信息,"新进指数成份股, 教育, 回购, 创业板人气股, 大数据, 云计算, 互联网医疗, 区块链, 智慧城市, 国产软件, 股权转让, 医疗信息化, 智慧安防, ",13.0
82,000928.SZ,中钢国际,"碳纤维, 振兴东北, 一带一路, 石墨电极, 央企改革, 大基建, 债转股-AMC, 高质押率, 3D打印, 智能制造, 人民币贬值受益, 石墨烯, ",12.0
83,600380.SH,健康元,"MSCI, 参股券商, 保健品, 食品, 医药, 中药, 化学药, 流感, 腾讯概念股, 独角兽, 蚂蚁金服概念股, 创投, ",12.0
84,600072.SH,中船科技,"南北船合并, 海工装备, 混改, 军工混改, 央企改革, 军工研究所, 航母, 业绩预增, 军工, 军民融合, 机械, PPP, ",12.0
85,600019.SH,宝钢股份,"高股息, 白马股, MSCI, 钢铁, 人民币升值受益, 石墨电极, 特斯拉, 央企改革, 航母, 工业自动化, 万达系, 智能制造, ",12.0
86,000069.SZ,华侨城A,"高股息, 主题公园, 雄安-地产, MSCI, 央企改革, 社保重仓, 旅游, 宝能系, 特色小镇, 房地产, 雄安新区, 独角兽, ",12.0
87,002152.SZ,广电运通,"MSCI, 回购, 移动支付, 大数据, 人工智能, 区块链, 腾讯概念股, 高铁轨交, 智慧安防, 虹膜识别, 人脸识别, 无人银行, ",12.0
88,601989.SH,中国重工,"南北船合并, MSCI, 中字头, 海工装备, 混改, 军工混改, 央企改革, 军工研究所, 航母, 军工, 军民融合, 债转股-AMC, ",12.0
89,000063.SZ,中兴通讯,"5G, 光通信, 白马股, MSCI, 物联网, 百度概念股, 互联网金融, 移动支付, 大数据, 云计算, 人工智能, 智慧城市, ",12.0
90,300002.SZ,神州泰岳,"教育, 核电, 物联网, 网络安全, 大数据, 云计算, 人工智能, 区块链, 工业互联网, 智慧安防, 游戏, 手游, ",12.0
91,002189.SZ,利达光电,"混改, 军工混改, 央企改革, 军工研究所, 业绩预增, 军工, 智能制造, 3D感应, VR&AR, 机器视觉, 资产重组, 人脸识别, ",12.0
92,000938.SZ,紫光股份,"5G, MSCI, 物联网, 数字中国, 智能制造, 大数据, 云计算, 人工智能, 智慧城市, 高校系, 国产操作系统, 机器人, ",12.0
93,002340.SZ,格林美,"MSCI, 特斯拉, 固废处理, 有色金属, 有色-镍, 有色-钴, 宁德时代概念股, 锂电池, 环保, 新能源汽车, 石墨烯, 智慧城市, ",12.0
94,600079.SH,人福医药,"MSCI, 民营医院, 社保重仓, 芬太尼概念, 参股券商, 养老产业, 定增破发, 医药, 化学药, 疫苗, 医疗器械, 体外诊断, ",12.0
95,600570.SH,恒生电子,"MSCI, 阿里巴巴概念股, 金改, 互联网金融, 大数据, 人工智能, 互联网医疗, 区块链, 国产软件, 医疗信息化, 独角兽, 蚂蚁金服概念股, ",12.0
96,002642.SZ,荣之联,"空铁WiFi, 物联网, 无人驾驶, 智慧物流, 定增破发, 智能制造, 基因测序, 大数据, 云计算, 区块链, 智慧城市, 独角兽, ",12.0
97,000723.SZ,美锦能源,"煤炭, 油服, 新能源整车, 新进指数成份股, 石墨电极, 业绩预增, 高质押率, 燃料电池, 智能制造, 新能源汽车, 资产重组, 机器人, ",12.0
