code,name,past_p_change,past_positive
300349,金卡智能,-8.7872658316,★
000910,大亚圣象,-8.78368675164,
300150,世纪瑞尔,-8.78103857121,★
603999,读者传媒,-8.77923752225,★
300587,天铁股份,-8.77523485399,★
002220,天宝食品,-8.7720150762,★
002364,中恒电气,-8.76304457248,★
300579,数字认证,-8.75312175803,★
000783,长江证券,-8.75095705843,★
002190,成飞集成,-8.74484060439,★
000690,宝新能源,-8.74232233329,
002144,宏达高科,-8.73747582756,★
000869,张 裕Ａ,-8.73398515799,★
600295,鄂尔多斯,-8.73249932251,★
002006,精功科技,-8.72408999298,★
000698,沈阳化工,-8.71831370306,★
002371,北方华创,-8.715079107,★
600007,中国国贸,-8.71362575982,★
603766,隆鑫通用,-8.70372111696,★
300671,富满电子,-8.70232465329,
000597,东北制药,-8.69855684654,★
002447,晨鑫科技,-8.6974843869,★
601958,金钼股份,-8.69504268644,★
000589,黔轮胎Ａ,-8.68404524433,★
300045,华力创通,-8.68233568551,★
600308,华泰股份,-8.6791664218,★
603239,浙江仙通,-8.67429301051,★
300171,东富龙,-8.67413689418,★
300201,海伦哲,-8.67254319813,★
600919,江苏银行,-8.66628754317,
600975,新五丰,-8.66622180992,★
002125,湘潭电化,-8.66120952064,★
000975,银泰资源,-8.65988953188,★
600317,营口港,-8.64698890576,★
600893,航发动力,-8.6386430644,
300337,银邦股份,-8.63579274274,
000612,焦作万方,-8.63229412233,★
600847,*ST万里,-8.62916519045,★
600210,紫江企业,-8.62821997029,★
600096,云天化,-8.62588637934,★
600267,海正药业,-8.61573738376,★
000919,金陵药业,-8.6149371858,★
000908,景峰医药,-8.61032754254,★
300132,青松股份,-8.60415852917,★
601616,广电电气,-8.59384188767,★
600549,厦门钨业,-8.59157579663,★
600966,博汇纸业,-8.58561859885,★
600386,北巴传媒,-8.57212909692,★
601398,工商银行,-8.55761150285,★
300115,长盈精密,-8.55553916654,★
600259,广晟有色,-8.55085554499,★
000017,深中华A,-8.54072465256,★
002327,富安娜,-8.54032937494,★
002641,永高股份,-8.53634451778,★
300302,同有科技,-8.53213449107,★
000650,仁和药业,-8.52327911069,★
000570,苏常柴Ａ,-8.50755559426,★
002452,长高集团,-8.49865411644,★
600578,京能电力,-8.49199616141,★
600881,亚泰集团,-8.48206659645,★
002290,中科新材,-8.479718446,★
000767,漳泽电力,-8.47719256044,★
002692,睿康股份,-8.47591179117,
600879,航天电子,-8.47227854781,★
000836,鑫茂科技,-8.45613017392,
000818,方大化工,-8.45377037091,★
000601,韶能股份,-8.45027287216,★
300063,天龙集团,-8.44518242262,
300584,海辰药业,-8.44257856672,
603669,灵康药业,-8.43877268627,★
000878,云南铜业,-8.43579286545,★
000514,渝 开 发,-8.43503406994,★
601198,东兴证券,-8.43429319253,
000911,南宁糖业,-8.43078389159,★
000501,鄂武商Ａ,-8.4283136639,★
600897,厦门空港,-8.42600806628,★
601558,*ST锐电,-8.42474271491,★
300347,泰格医药,-8.42251792333,★
000786,北新建材,-8.41095957987,★
000545,金浦钛业,-8.40113275292,★
300200,高盟新材,-8.3971554052,★
603001,奥康国际,-8.39320821704,★
002191,劲嘉股份,-8.3831431663,★
000685,中山公用,-8.37815301842,★
300355,蒙草生态,-8.37044883766,★
600720,祁连山,-8.36850598236,★
300548,博创科技,-8.36037718889,
300382,斯莱克,-8.35970601189,★
601518,吉林高速,-8.3526056388,★
601318,中国平安,-8.35252885434,★
000667,美好置业,-8.35102290118,★
600091,ST明科,-8.35025338425,★
600277,亿利洁能,-8.34620641834,★
600162,香江控股,-8.34180014816,
002296,辉煌科技,-8.33287065728,★
601607,上海医药,-8.33159633934,★
300493,润欣科技,-8.32890888461,★
002276,万马股份,-8.3284006479,★
300326,凯利泰,-8.32468396249,
600469,风神股份,-8.32363724109,★
603501,韦尔股份,-8.32270988222,
600491,龙元建设,-8.32179785018,★
002732,燕塘乳业,-8.3211806726,★
600158,中体产业,-8.31987103712,★
600736,苏州高新,-8.29698366145,★
000417,合肥百货,-8.28531835685,★
600297,广汇汽车,-8.28358699373,★
300577,开润股份,-8.28023342771,★
002622,融钰集团,-8.27839268551,
002026,山东威达,-8.27126965616,★
002025,航天电器,-8.26941195884,★
603360,百傲化学,-8.26136377901,★
603081,大丰实业,-8.25837604568,★
002150,通润装备,-8.24326052247,★
300181,佐力药业,-8.23507508299,★
300066,三川智慧,-8.22840741867,★
300228,富瑞特装,-8.22654615117,★
601208,东材科技,-8.22396419347,★
002005,德豪润达,-8.21974582779,
300590,移为通信,-8.21941971353,
603466,风语筑,-8.21560029309,★
300062,中能电气,-8.21534332108,★
000563,陕国投Ａ,-8.2127180524,★
000972,*ST中基,-8.21189602432,★
600728,佳都科技,-8.21142730306,★
002563,森马服饰,-8.21073426889,★
000678,襄阳轴承,-8.20963403248,★
000488,晨鸣纸业,-8.20437766929,★
300442,普丽盛,-8.19237434357,★
601177,杭齿前进,-8.18835351466,★
000028,国药一致,-8.18628892567,★
600422,昆药集团,-8.18323184977,★
600611,大众交通,-8.18050388011,★
600433,冠豪高新,-8.1662871412,★
300123,亚光科技,-8.16139596388,★
300707,威唐工业,-8.16138480885,★
300375,鹏翎股份,-8.16127101472,★
002238,天威视讯,-8.16073756171,
600777,新潮能源,-8.15767617833,
002425,凯撒文化,-8.15535004992,★
603909,合诚股份,-8.1509503612,★
000655,金岭矿业,-8.15008647904,★
002821,凯莱英,-8.14492673512,★
002759,天际股份,-8.14307737043,★
002339,积成电子,-8.14292308545,★
002037,久联发展,-8.14115693097,★
000798,中水渔业,-8.12468982681,★
002515,金字火腿,-8.11541087892,★
603319,湘油泵,-8.10816491789,★
600360,华微电子,-8.10545753777,★
603005,晶方科技,-8.10110243349,★
300554,三超新材,-8.09699348315,★
600133,东湖高新,-8.09636643526,★
600193,创兴资源,-8.09005554277,★
300536,农尚环境,-8.07855135654,★
002649,博彦科技,-8.07663081572,★
603103,横店影视,-8.07562665796,★
601098,中南传媒,-8.07510895591,★
600520,文一科技,-8.07177385902,
600027,华电国际,-8.06914527702,
603969,银龙股份,-8.06721234118,★
603989,艾华集团,-8.06340977856,★
601388,怡球资源,-8.06263457146,★
000778,新兴铸管,-8.06077170818,★
603579,荣泰健康,-8.05975875674,★
601618,中国中冶,-8.05408656521,
300284,苏交科,-8.05030504688,★
000617,中油资本,-8.04722195487,★
300022,吉峰农机,-8.04502528124,★
600869,智慧能源,-8.04274415691,
002541,鸿路钢构,-8.02318149924,★
601010,文峰股份,-8.01991061601,★
300130,新国都,-8.01882251957,★
002245,澳洋顺昌,-8.01803138701,★
000998,隆平高科,-8.01770843867,★
603668,天马科技,-8.01630362049,★
000930,中粮生化,-7.99431913141,★
000679,大连友谊,-7.9635016596,★
002611,东方精工,-7.9604498261,★
603003,龙宇燃油,-7.95907984874,★
002883,中设股份,-7.94869792281,★
002407,多氟多,-7.94823789448,★
002742,三圣股份,-7.94472174994,
600582,天地科技,-7.94373283228,★
300127,银河磁体,-7.94194185561,★
600580,卧龙电气,-7.94099293342,★
000948,南天信息,-7.9172816814,★
000713,丰乐种业,-7.90200381337,
300316,晶盛机电,-7.8999255454,★
000639,西王食品,-7.8807385813,
601933,永辉超市,-7.87640259232,★
000761,本钢板材,-7.87088982398,★
300102,乾照光电,-7.86818275134,★
002578,闽发铝业,-7.86445698886,★
000404,华意压缩,-7.86351015297,★
600191,华资实业,-7.86135570318,★
000672,上峰水泥,-7.85461304952,★
300198,纳川股份,-7.84755108634,
603868,飞科电器,-7.8465983391,★
